ActivityCode,Competition,,,,,,,,
NULL,Unknown,,,,,,,,
1270,Sustainable HVMAN through industrial biotechnology - CR&D Oct-12,,,,,,27,4,27
1271,Innovation Vouchers Rnd 1 Sept -12,,,,,,27,4,27
1274,Biomedical Catayst (Rnd 2 FS) Jun-12,,,,,,27,4,27
1275,Biomedical Catayst - Late Stage June-12,,,,,,27,4,27
1276,Biomedical Catayst - Early Stage June-12,,,,,,27,4,27
1278,Offshore Renewable Energy Catapult  Dec-12,,,,,,27,4,27
1279,Greenius (Cabinet Office) Jun-12,,,,,,27,4,27
1281,The Protocol Prog: the Innovative Wing Box (inBox)  Project  Mar-12,,,,,,28,4,28
1282,The Protocol Prog: the Aircraft Lightweight Radial Tyre (ALWRT)  Mar-12,,,,,,28,4,28
1283,The Protocol Prog: Fuel & Inserting Research for Systems Technologies (FIRST)  Mar-12,,,,,,28,4,28
1284,Advancing the industrial application of synthetic biology Oct-12,,,,,,28,4,28
1285,Resource efficiency: New designs for a circular economy Oct-12,,,,,,28,4,28
1286,Energy - efficient computing Oct-12,,,,,,28,4,28
1287,Energy harvesting for autonomous sensing Oct-12,,,,,,28,4,28
1288,Invest in Innovative Refurbishment Tranche 2 Apr-12,,,,,,28,4,28
1289,Internet of Things ecosysystem demonstrator Oct-12,,,,,,28,4,28
1290,Aretmis Phase 4 Oct-11,,,,,,29,4,29
1291,Eureka ENIAC Phase 3 Apr-11,,,,,,29,4,29
1292,Eranet (OLAE) Nov -11,,,,,,29,4,29
1293,Supporting European collaboration in fuel cells and hydrogen Nov-12,,,,,,29,4,29
1294,Proof of Market Round 4 Sept-12,,,,,,29,4,29
1295,Proof of Concept Round 4 Sept-12,,,,,,29,4,29
1296,Development of Prototype Round 4 Sept-12,,,,,,29,4,29
1297,Eureka Eurostars Phase 7 Mar-12,,,,,,29,4,29
1299,Building fuel cell manufacturing and the supply chain Nov-12,,,,,,29,4,29
1301,Transport Systems Mar-12,,,,,,30,4,30
1302,Future Cities Catapult Mar-13,,,,,,30,4,30
1303,SINN (Manufacturing) EU,,,,,,30,4,30
1304,ERANET Biotechnology (EU) Phase 1,,,,,,30,4,30
1306,Innovation Vouchers Rnd 3 June - 13,,,,,,30,4,30
1307,Buildings better connected Mar-13,,,,,,30,4,30
1308,Measurement technologies for agri-food systems (FS) Mar-13,,,,,,30,4,30
1310,Enabling the digital railway Mar-13,,,,,,31,4,31
1311,Centre Expansion Catpult,,,,,,31,4,31
1312,Proof of Market Rnd 1 May-13,,,,,,31,4,31
1313,Proof of Concept Rnd 1 May-13,,,,,,31,4,31
1314,Development of Prototype Rd1 May-13,,,,,,31,4,31
1315,Photonics for health Mar-13,,,,,,31,4,31
1316,Stratitfied medicine: Determining patient response. Phase 2 May-13,,,,,,31,4,31
1318,Vessel efficiency : Piloting UK marine and Maritime innovation Jan-13,,,,,,31,4,31
1319,Eureka ENIAC Call 5,,,,,,31,4,31
1320,Aretmis Call 5,,,,,,32,4,32
1322,The long-term care revolution Apr-13,,,,,,32,4,32
1325,Nutrition for Life - providing safe & healthly food (FS) May-13,,,,,,32,4,32
1329,Powerlectronics - enabling a resilient energy system (CR&D) Feb -13,,,,,,32,4,32
1330,Invest in Innovative Refurbishment Tranche 2 (Main),,,,,,33,4,33
1331,Innovation Vouchers Rnd 4,,,,,,33,4,33
1334,Future Cities Solutions (Energy) July -13,,,,,,33,4,33
1335,Proof of Market Rnd 2 July -13,,,,,,33,4,33
1336,Proof of Concept Rnd 2 July-13,,,,,,33,4,33
1337,Development of Prototype Rd 2 July-13,,,,,,33,4,33
1350,Evoque_e,,,,,,35,4,35
1352,Measurement technologies for efficient Agri - food systems,,,,,,35,4,35
1357,Photonics for health (FS) Mar-13,,,,,,35,4,35
1366,eTOCA,,,,,,36,4,36
11103,HIVMan TIC Mar-11,,,,,,110,5,110
12100,Developing the offshore wind supply chain (FS) Nov-12,,,,,,210,5,210
12101,Enhancing Manufacturing through Automation Jan-13,,,,,,210,5,210
12102,Preventing fraud in mCommerce Nov-12,,,,,,210,5,210
12104,Highly innovative technology enablers in aerospace 2 Jan-13,,,,,,210,5,210
12106,Proof of Market Rnd 5 Nov-12,,,,,,210,5,210
12107,Proof of Concept Rnd5 Nov-12,,,,,,210,5,210
12108,Development of Prototype Nov-12,,,,,,210,5,210
12109,LaserSnake 2 ( Nuclear Decommising) Dec-12,,,,,,210,5,210
